name,direction,width
# generated from https://github.com/eddiehung/yosys/blob/99a14b0e37a383de39136807f9eb09e18fa859b9/techlibs/xilinx/cells_xtra.v#L3060

DMA0DAVALID,o,1
DMA0DRREADY,o,1
DMA0RSTN,o,1
DMA1DAVALID,o,1
DMA1DRREADY,o,1
DMA1RSTN,o,1
DMA2DAVALID,o,1
DMA2DRREADY,o,1
DMA2RSTN,o,1
DMA3DAVALID,o,1
DMA3DRREADY,o,1
DMA3RSTN,o,1
EMIOCAN0PHYTX,o,1
EMIOCAN1PHYTX,o,1
EMIOENET0GMIITXEN,o,1
EMIOENET0GMIITXER,o,1
EMIOENET0MDIOMDC,o,1
EMIOENET0MDIOO,o,1
EMIOENET0MDIOTN,o,1
EMIOENET0PTPDELAYREQRX,o,1
EMIOENET0PTPDELAYREQTX,o,1
EMIOENET0PTPPDELAYREQRX,o,1
EMIOENET0PTPPDELAYREQTX,o,1
EMIOENET0PTPPDELAYRESPRX,o,1
EMIOENET0PTPPDELAYRESPTX,o,1
EMIOENET0PTPSYNCFRAMERX,o,1
EMIOENET0PTPSYNCFRAMETX,o,1
EMIOENET0SOFRX,o,1
EMIOENET0SOFTX,o,1
EMIOENET1GMIITXEN,o,1
EMIOENET1GMIITXER,o,1
EMIOENET1MDIOMDC,o,1
EMIOENET1MDIOO,o,1
EMIOENET1MDIOTN,o,1
EMIOENET1PTPDELAYREQRX,o,1
EMIOENET1PTPDELAYREQTX,o,1
EMIOENET1PTPPDELAYREQRX,o,1
EMIOENET1PTPPDELAYREQTX,o,1
EMIOENET1PTPPDELAYRESPRX,o,1
EMIOENET1PTPPDELAYRESPTX,o,1
EMIOENET1PTPSYNCFRAMERX,o,1
EMIOENET1PTPSYNCFRAMETX,o,1
EMIOENET1SOFRX,o,1
EMIOENET1SOFTX,o,1
EMIOI2C0SCLO,o,1
EMIOI2C0SCLTN,o,1
EMIOI2C0SDAO,o,1
EMIOI2C0SDATN,o,1
EMIOI2C1SCLO,o,1
EMIOI2C1SCLTN,o,1
EMIOI2C1SDAO,o,1
EMIOI2C1SDATN,o,1
EMIOPJTAGTDO,o,1
EMIOPJTAGTDTN,o,1
EMIOSDIO0BUSPOW,o,1
EMIOSDIO0CLK,o,1
EMIOSDIO0CMDO,o,1
EMIOSDIO0CMDTN,o,1
EMIOSDIO0LED,o,1
EMIOSDIO1BUSPOW,o,1
EMIOSDIO1CLK,o,1
EMIOSDIO1CMDO,o,1
EMIOSDIO1CMDTN,o,1
EMIOSDIO1LED,o,1
EMIOSPI0MO,o,1
EMIOSPI0MOTN,o,1
EMIOSPI0SCLKO,o,1
EMIOSPI0SCLKTN,o,1
EMIOSPI0SO,o,1
EMIOSPI0SSNTN,o,1
EMIOSPI0STN,o,1
EMIOSPI1MO,o,1
EMIOSPI1MOTN,o,1
EMIOSPI1SCLKO,o,1
EMIOSPI1SCLKTN,o,1
EMIOSPI1SO,o,1
EMIOSPI1SSNTN,o,1
EMIOSPI1STN,o,1
EMIOTRACECTL,o,1
EMIOUART0DTRN,o,1
EMIOUART0RTSN,o,1
EMIOUART0TX,o,1
EMIOUART1DTRN,o,1
EMIOUART1RTSN,o,1
EMIOUART1TX,o,1
EMIOUSB0VBUSPWRSELECT,o,1
EMIOUSB1VBUSPWRSELECT,o,1
EMIOWDTRSTO,o,1
EVENTEVENTO,o,1
MAXIGP0ARESETN,o,1
MAXIGP0ARVALID,o,1
MAXIGP0AWVALID,o,1
MAXIGP0BREADY,o,1
MAXIGP0RREADY,o,1
MAXIGP0WLAST,o,1
MAXIGP0WVALID,o,1
MAXIGP1ARESETN,o,1
MAXIGP1ARVALID,o,1
MAXIGP1AWVALID,o,1
MAXIGP1BREADY,o,1
MAXIGP1RREADY,o,1
MAXIGP1WLAST,o,1
MAXIGP1WVALID,o,1
SAXIACPARESETN,o,1
SAXIACPARREADY,o,1
SAXIACPAWREADY,o,1
SAXIACPBVALID,o,1
SAXIACPRLAST,o,1
SAXIACPRVALID,o,1
SAXIACPWREADY,o,1
SAXIGP0ARESETN,o,1
SAXIGP0ARREADY,o,1
SAXIGP0AWREADY,o,1
SAXIGP0BVALID,o,1
SAXIGP0RLAST,o,1
SAXIGP0RVALID,o,1
SAXIGP0WREADY,o,1
SAXIGP1ARESETN,o,1
SAXIGP1ARREADY,o,1
SAXIGP1AWREADY,o,1
SAXIGP1BVALID,o,1
SAXIGP1RLAST,o,1
SAXIGP1RVALID,o,1
SAXIGP1WREADY,o,1
SAXIHP0ARESETN,o,1
SAXIHP0ARREADY,o,1
SAXIHP0AWREADY,o,1
SAXIHP0BVALID,o,1
SAXIHP0RLAST,o,1
SAXIHP0RVALID,o,1
SAXIHP0WREADY,o,1
SAXIHP1ARESETN,o,1
SAXIHP1ARREADY,o,1
SAXIHP1AWREADY,o,1
SAXIHP1BVALID,o,1
SAXIHP1RLAST,o,1
SAXIHP1RVALID,o,1
SAXIHP1WREADY,o,1
SAXIHP2ARESETN,o,1
SAXIHP2ARREADY,o,1
SAXIHP2AWREADY,o,1
SAXIHP2BVALID,o,1
SAXIHP2RLAST,o,1
SAXIHP2RVALID,o,1
SAXIHP2WREADY,o,1
SAXIHP3ARESETN,o,1
SAXIHP3ARREADY,o,1
SAXIHP3AWREADY,o,1
SAXIHP3BVALID,o,1
SAXIHP3RLAST,o,1
SAXIHP3RVALID,o,1
SAXIHP3WREADY,o,1
MAXIGP0ARID,o,12
MAXIGP0AWID,o,12
MAXIGP0WID,o,12
MAXIGP1ARID,o,12
MAXIGP1AWID,o,12
MAXIGP1WID,o,12
DMA0DATYPE,o,12
DMA1DATYPE,o,2
DMA2DATYPE,o,2
DMA3DATYPE,o,2
EMIOUSB0PORTINDCTL,o,2
EMIOUSB1PORTINDCTL,o,2
EVENTSTANDBYWFE,o,2
EVENTSTANDBYWFI,o,2
MAXIGP0ARBURST,o,2
MAXIGP0ARLOCK,o,2
MAXIGP0ARSIZE,o,2
MAXIGP0AWBURST,o,2
MAXIGP0AWLOCK,o,2
MAXIGP0AWSIZE,o,2
MAXIGP1ARBURST,o,2
MAXIGP1ARLOCK,o,2
MAXIGP1ARSIZE,o,2
MAXIGP1AWBURST,o,2
MAXIGP1AWLOCK,o,2
MAXIGP1AWSIZE,o,2
SAXIACPBRESP,o,2
SAXIACPRRESP,o,2
SAXIGP0BRESP,o,2
SAXIGP0RRESP,o,2
SAXIGP1BRESP,o,2
SAXIGP1RRESP,o,2
SAXIHP0BRESP,o,2
SAXIHP0RRESP,o,2
SAXIHP1BRESP,o,2
SAXIHP1RRESP,o,2
SAXIHP2BRESP,o,2
SAXIHP2RRESP,o,2
SAXIHP3BRESP,o,2
SAXIHP3RRESP,o,2
IRQP2F,o,2
EMIOSDIO0BUSVOLT,o,29
EMIOSDIO1BUSVOLT,o,3
EMIOSPI0SSON,o,3
EMIOSPI1SSON,o,3
EMIOTTC0WAVEO,o,3
EMIOTTC1WAVEO,o,3
MAXIGP0ARPROT,o,3
MAXIGP0AWPROT,o,3
MAXIGP1ARPROT,o,3
MAXIGP1AWPROT,o,3
SAXIACPBID,o,3
SAXIACPRID,o,3
SAXIHP0RACOUNT,o,3
SAXIHP1RACOUNT,o,3
SAXIHP2RACOUNT,o,3
SAXIHP3RACOUNT,o,3
EMIOTRACEDATA,o,3
FTMTP2FDEBUG,o,32
MAXIGP0ARADDR,o,32
MAXIGP0AWADDR,o,32
MAXIGP0WDATA,o,32
MAXIGP1ARADDR,o,32
MAXIGP1AWADDR,o,32
MAXIGP1WDATA,o,32
